OriginName,zipCode,county,CountyZip,population,longitude,latitude,censusTract,censusBlockGroup,CreateDate
Los Angeles90001_33.972872_-118.249939,90001,Los Angeles,Los Angeles90001,11344,-118.249939,33.972872,535001,2,9/15/2022
Los Angeles90001_33.960117_-118.231604,90001,Los Angeles,Los Angeles90001,2299,-118.231604,33.960117,535300,2,9/15/2022
Los Angeles90001_33.989178_-118.237875,90001,Los Angeles,Los Angeles90001,2786,-118.237875,33.989178,532700,2,9/15/2022
Los Angeles90001_33.987182_-118.265201,90001,Los Angeles,Los Angeles90001,1742,-118.265201,33.987182,239202,1,9/15/2022
Los Angeles90001_33.960125_-118.26513,90001,Los Angeles,Los Angeles90001,2840,-118.26513,33.960125,240010,1,9/15/2022
Los Angeles90001_33.960147_-118.247451,90001,Los Angeles,Los Angeles90001,4003,-118.247451,33.960147,535101,4,9/15/2022
Los Angeles90001_33.972962_-118.234452,90001,Los Angeles,Los Angeles90001,3748,-118.234452,33.972962,534900,3,9/15/2022
Los Angeles90001_33.97387_-118.265183,90001,Los Angeles,Los Angeles90001,3523,-118.265183,33.97387,239501,2,9/15/2022
Los Angeles90001_33.984322_-118.252113,90001,Los Angeles,Los Angeles90001,8435,-118.252113,33.984322,532800,2,9/15/2022
Los Angeles90001_33.980396_-118.241207,90001,Los Angeles,Los Angeles90001,9419,-118.241207,33.980396,533002,1,9/15/2022
Los Angeles90001_33.965586_-118.256434,90001,Los Angeles,Los Angeles90001,9882,-118.256434,33.965586,239801,1,9/15/2022
Los Angeles90001_33.967411_-118.242133,90001,Los Angeles,Los Angeles90001,5846,-118.242133,33.967411,535101,1,9/15/2022
Los Angeles90002_33.949022_-118.247145,90002,Los Angeles,Los Angeles90002,8553,-118.247145,33.949022,242300,1,9/15/2022
Los Angeles90002_33.928885_-118.300317,90002,Los Angeles,Los Angeles90002,222,-118.300317,33.928885,602801,2,9/15/2022
Los Angeles90002_33.937844_-118.22696,90002,Los Angeles,Los Angeles90002,1550,-118.22696,33.937844,540300,1,9/15/2022
Los Angeles90002_33.959253_-118.265139,90002,Los Angeles,Los Angeles90002,3293,-118.265139,33.959253,240010,1,9/15/2022
Los Angeles90002_33.93929_-118.265192,90002,Los Angeles,Los Angeles90002,1651,-118.265192,33.93929,240800,3,9/15/2022
Los Angeles90002_33.960117_-118.231604,90002,Los Angeles,Los Angeles90002,2530,-118.231604,33.960117,535300,2,9/15/2022
Los Angeles90002_33.948255_-118.232925,90002,Los Angeles,Los Angeles90002,9402,-118.232925,33.948255,535400,3,9/15/2022
